cfbd_game_id,week,away_team,home_team,away_points,home_points,excitement_index,a_1H,a_2H,a_OT,a_Q1,a_Q2,a_Q3,a_Q4,h_1H,h_2H,h_OT,h_Q1,h_Q2,h_Q3,h_Q4
401858208,1,New Hampshire,Syracuse,3.0,66.0,3.138919009552243,0.0,3.0,,0.0,0.0,0.0,3.0,41.0,25.0,,14.0,27.0,2.0,23.0
401858209,1,Tulane,Duke,3.0,17.0,4.3994336317500204,0.0,3.0,,0.0,0.0,0.0,3.0,10.0,7.0,,7.0,3.0,0.0,7.0
401858210,1,UCLA,California,45.0,24.0,7.116397431805615,24.0,21.0,,7.0,17.0,0.0,21.0,17.0,7.0,,7.0,10.0,7.0,0.0
401858211,1,VMI,Virginia Tech,3.0,73.0,2.6017762353441864,0.0,3.0,,0.0,0.0,0.0,3.0,45.0,28.0,,21.0,24.0,21.0,7.0
401858422,1,Eastern Illinois,Minnesota,7.0,59.0,3.14001327981458,7.0,0.0,,0.0,7.0,0.0,0.0,35.0,24.0,,14.0,21.0,10.0,14.0
401858423,1,Massachusetts,Rutgers,37.0,21.0,3.19174551401912,24.0,13.0,,7.0,17.0,3.0,10.0,7.0,14.0,,7.0,0.0,0.0,14.0
401858424,1,UAB,Illinois,23.0,42.0,4.75265847732276,13.0,10.0,,3.0,10.0,3.0,7.0,21.0,21.0,,14.0,7.0,7.0,14.0
401858425,1,North Texas,Indiana,16.0,52.0,3.1555518356391348,6.0,10.0,,0.0,6.0,10.0,0.0,24.0,28.0,,14.0,10.0,7.0,21.0
401858426,1,Northern Illinois,Iowa,0.0,40.0,2.991476264041379,0.0,0.0,,0.0,0.0,0.0,0.0,33.0,7.0,,20.0,13.0,7.0,0.0
401858427,1,Hampton,Maryland,0.0,62.0,3.011646330381045,0.0,0.0,,0.0,0.0,0.0,0.0,34.0,28.0,,17.0,17.0,21.0,7.0
401858428,1,Western Michigan,Michigan,12.0,13.0,6.041964771521302,6.0,6.0,,3.0,3.0,0.0,6.0,7.0,6.0,,7.0,0.0,0.0,6.0
401858429,1,Toledo,Michigan State,20.0,30.0,4.890609370532793,7.0,13.0,,0.0,7.0,7.0,6.0,19.0,11.0,,10.0,9.0,0.0,11.0
401858430,1,Ohio,Nebraska,21.0,49.0,5.892662307927382,13.0,8.0,,10.0,3.0,0.0,8.0,14.0,35.0,,7.0,7.0,14.0,21.0
401858431,1,South Dakota State,Northwestern,18.0,34.0,5.929680461851733,6.0,12.0,,0.0,6.0,6.0,6.0,10.0,24.0,,7.0,3.0,7.0,17.0
401858432,1,Ball State,Ohio State,3.0,56.0,2.992610673968029,3.0,0.0,,0.0,3.0,0.0,0.0,28.0,28.0,,14.0,14.0,14.0,14.0
401858433,1,Boise State,Oregon,27.0,34.0,7.775981246855717,17.0,10.0,,7.0,10.0,7.0,3.0,14.0,20.0,,0.0,14.0,10.0,10.0
401858434,1,Marshall,Penn State,0.0,45.0,2.797021785173139,0.0,0.0,,0.0,0.0,0.0,0.0,24.0,21.0,,17.0,7.0,14.0,7.0
401858435,1,Indiana State,Purdue,19.0,44.0,3.442458035830671,6.0,13.0,,3.0,3.0,0.0,13.0,16.0,28.0,,10.0,6.0,21.0,7.0
401858436,1,Fresno State,USC,0.0,39.0,3.768518413523263,0.0,0.0,,0.0,0.0,0.0,0.0,30.0,9.0,,7.0,23.0,2.0,7.0
401858437,1,Washington State,Washington,10.0,24.0,4.427212255333209,0.0,10.0,,0.0,0.0,0.0,10.0,10.0,14.0,,3.0,7.0,0.0,14.0
401858438,1,Wisconsin,Notre Dame,13.0,41.0,4.717462456587417,10.0,3.0,,3.0,7.0,3.0,0.0,13.0,28.0,,10.0,3.0,14.0,14.0
401860878,1,Wyoming,Colorado State,13.0,35.0,4.447543350267782,6.0,7.0,,3.0,3.0,7.0,0.0,14.0,21.0,,7.0,7.0,7.0,14.0
401860879,1,Portland State,San Diego State,20.0,53.0,4.422144739501946,6.0,14.0,,6.0,0.0,7.0,7.0,29.0,24.0,,7.0,22.0,14.0,10.0
401860880,1,Idaho State,Utah State,29.0,17.0,6.264019457225063,16.0,13.0,,6.0,10.0,3.0,10.0,10.0,7.0,,7.0,3.0,7.0,0.0
401861962,1,Lafayette,UConn,7.0,56.0,3.1293066509575125,0.0,7.0,,0.0,0.0,0.0,7.0,35.0,21.0,,21.0,14.0,14.0,7.0
401862693,1,Memphis,UNLV,27.0,21.0,6.40825618898589,7.0,20.0,,0.0,7.0,17.0,3.0,14.0,7.0,,0.0,14.0,7.0,0.0
401862694,1,The Citadel,Charlotte,43.0,41.0,9.442475061652209,7.0,21.0,15.0,7.0,0.0,14.0,7.0,14.0,14.0,13.0,7.0,7.0,7.0,7.0
401862695,1,Arkansas State,Memphis,24.0,42.0,6.031402219714873,17.0,7.0,,3.0,14.0,7.0,0.0,21.0,21.0,,0.0,21.0,14.0,7.0
401862696,1,Towson,Navy,15.0,42.0,3.276233467141967,12.0,3.0,,0.0,12.0,3.0,0.0,28.0,14.0,,14.0,14.0,7.0,7.0
401862697,1,Houston Christian,Rice,3.0,31.0,3.5664787176238173,3.0,0.0,,3.0,0.0,0.0,0.0,17.0,14.0,,7.0,10.0,0.0,14.0
401862698,1,Rhode Island,Temple,14.0,38.0,4.427826148039744,14.0,0.0,,7.0,7.0,0.0,0.0,24.0,14.0,,10.0,14.0,7.0,7.0
401862699,1,Florida International,South Florida,9.0,19.0,5.547560219861631,0.0,9.0,,0.0,0.0,3.0,6.0,6.0,13.0,,3.0,3.0,0.0,13.0
401862700,1,UT Rio Grande Valley,UTSA,16.0,45.0,3.7453634219052026,6.0,10.0,,0.0,6.0,0.0,10.0,31.0,14.0,,7.0,24.0,0.0,14.0
401862701,1,Bryant,Army,3.0,59.0,2.4740929707829853,3.0,0.0,,0.0,3.0,0.0,0.0,31.0,28.0,,21.0,10.0,14.0,14.0
401864424,1,Merrimack,Delaware,7.0,42.0,3.641449382089869,0.0,7.0,,0.0,0.0,7.0,0.0,21.0,21.0,,7.0,14.0,14.0,7.0
401864425,1,West Georgia,Kennesaw State,0.0,47.0,3.102805467977636,0.0,0.0,,0.0,0.0,0.0,0.0,40.0,7.0,,19.0,21.0,7.0,0.0
401864432,1,Western Kentucky,Nevada,14.0,49.0,3.654035584925985,7.0,7.0,,0.0,7.0,0.0,7.0,21.0,28.0,,14.0,7.0,14.0,14.0
401864494,1,San José State,USC,26.0,42.0,3.086231848302736,0.0,26.0,,0.0,0.0,3.0,23.0,28.0,14.0,,7.0,21.0,7.0,7.0
401864495,1,San José State,Eastern Michigan,27.0,21.0,5.895337083138708,10.0,17.0,,0.0,10.0,7.0,10.0,7.0,14.0,,0.0,7.0,14.0,0.0
401864496,1,Duquesne,Air Force,0.0,34.0,2.656103092005642,0.0,0.0,,0.0,0.0,0.0,0.0,20.0,14.0,,7.0,13.0,7.0,7.0
401864497,1,UNLV,Hawai'i,21.0,6.0,4.135331155799781,14.0,7.0,,7.0,7.0,0.0,7.0,3.0,3.0,,0.0,3.0,3.0,0.0
401864498,1,Central Michigan,New Mexico,7.0,38.0,2.607560114443716,0.0,7.0,,0.0,0.0,0.0,7.0,20.0,18.0,,7.0,13.0,15.0,3.0
401864499,1,Fordham,North Dakota State,0.0,38.0,3.332098818300068,0.0,0.0,,0.0,0.0,0.0,0.0,17.0,21.0,,3.0,14.0,21.0,0.0
401864570,1,New Mexico State,Florida State,17.0,34.0,4.624194922647494,7.0,10.0,,0.0,7.0,3.0,7.0,17.0,17.0,,3.0,14.0,7.0,10.0
401864577,1,Jacksonville State,North Dakota State,7.0,33.0,3.9305937665231743,7.0,0.0,,7.0,0.0,0.0,0.0,17.0,16.0,,7.0,10.0,10.0,6.0
401866408,1,Sacramento State,Eastern Michigan,17.0,28.0,4.438013062049562,10.0,7.0,,0.0,10.0,0.0,7.0,21.0,7.0,,0.0,21.0,0.0,7.0
401866409,1,UAlbany,Buffalo,17.0,21.0,7.84080042330011,10.0,7.0,,7.0,3.0,7.0,0.0,14.0,7.0,,0.0,14.0,0.0,7.0
401866410,1,Tarleton State,Bowling Green,20.0,13.0,4.2530976755708005,17.0,3.0,,7.0,10.0,0.0,3.0,7.0,6.0,,0.0,7.0,3.0,3.0
401866411,1,Mississippi Valley State,Sacramento State,0.0,52.0,3.039980215956526,0.0,0.0,,0.0,0.0,0.0,0.0,31.0,21.0,,14.0,17.0,7.0,14.0
401866623,1,North Carolina A&T,Georgia State,10.0,59.0,3.2067711849236757,7.0,3.0,,0.0,7.0,0.0,3.0,35.0,24.0,,14.0,21.0,24.0,0.0
401866627,1,Maine,App State,3.0,55.0,3.1610989882466165,0.0,3.0,,0.0,0.0,3.0,0.0,31.0,24.0,,7.0,24.0,7.0,17.0
401867866,1,Murray State,Middle Tennessee,14.0,38.0,3.465664742640551,7.0,7.0,,0.0,7.0,7.0,0.0,21.0,17.0,,14.0,7.0,3.0,14.0
401867973,1,Norfolk State,Old Dominion,10.0,31.0,3.936906991354552,7.0,3.0,,0.0,7.0,3.0,0.0,17.0,14.0,,7.0,10.0,14.0,0.0
401868140,1,Eastern Kentucky,Jacksonville State,7.0,49.0,3.387304340243418,7.0,0.0,,0.0,7.0,0.0,0.0,35.0,14.0,,14.0,21.0,7.0,7.0
401868170,1,Charleston Southern,Georgia Southern,0.0,31.0,4.215427048060374,0.0,0.0,,0.0,0.0,0.0,0.0,24.0,7.0,,21.0,3.0,7.0,0.0
401868316,1,SE Louisiana,South Alabama,14.0,39.0,3.504406566912188,7.0,7.0,,7.0,0.0,7.0,0.0,22.0,17.0,,19.0,3.0,10.0,7.0
401868356,1,Alcorn State,Southern Miss,3.0,49.0,3.806821347033498,3.0,0.0,,3.0,0.0,0.0,0.0,21.0,28.0,,7.0,14.0,21.0,7.0
401869129,1,Northwestern State,Louisiana Tech,6.0,80.0,3.285266420139923,3.0,3.0,,3.0,0.0,0.0,3.0,63.0,17.0,,21.0,42.0,14.0,3.0
401869142,1,Lamar,Louisiana,7.0,38.0,3.254952524080834,0.0,7.0,,0.0,0.0,0.0,7.0,28.0,10.0,,7.0,21.0,7.0,3.0
401869960,1,Liberty,James Madison,13.0,20.0,3.873844922697359,6.0,7.0,,0.0,6.0,0.0,7.0,17.0,3.0,,7.0,10.0,3.0,0.0
401870763,1,Sam Houston,Troy,21.0,24.0,6.880106149784949,14.0,7.0,,7.0,7.0,0.0,7.0,14.0,10.0,,7.0,7.0,3.0,7.0
401870790,1,Mercyhurst,New Mexico State,14.0,51.0,6.551360057789783,14.0,0.0,,7.0,7.0,0.0,0.0,23.0,28.0,,13.0,10.0,7.0,21.0
